'show_id','type','title','director','cast','country','date_added','release_year','rating','duration','listed_in','description'
('s352','Movie','Ainu Mosir','Takeshi Fukunaga',"'Kanto Shimokura, Debo Akibe, Emi Shimokura, Toko Miura, Lily Franky'","'United States, Japan'",44152,2020,'TV-PG','84 min',"'Dramas, International Movies'",'A sensitive Ainu teen searches for a spiritual connection with his recently deceased dad while navigating his indigenous identity in a changing world.')
('s353','Movie','Airplane Mode','César Rodrigues',"'Larissa Manoela, André Luiz Frambach, Erasmo Carlos, Mariana Amâncio, Amanda Orestes, Eike Duarte, Nayobe Nzainab, Katiuscia Canoro, Phellyx Moura, Dani Ornellas, Michel Bercovitch, Sílvia Lourenço'",'United States',43853,2020,'TV-PG','97 min',"'Comedies, International Movies, Romantic Movies'","'When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.')"
('s358','TV Show','AJ and the Queen',,"'RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere'",'United States',43840,2020,'TV-14','1 Season',"'TV Comedies, TV Dramas'","'While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.')"
('s363','Movie','AK vs AK','Vikramaditya Motwane',"'Anil Kapoor, Anurag Kashyap'",'India',44190,2020,'TV-MA','109 min',"'Comedies, Dramas, International Movies'","'After a public spat with a movie star, a disgraced director retaliates by kidnapping the actor’s daughter, filming the search for her in real time.')"
('s369','Movie','Ala Vaikunthapurramuloo','Trivikram Srinivas',"'Allu Arjun, Pooja Hegde, Tabu, Sushanth, Nivetha Pethuraj, Jayaram, Murli Sharma'",'India',43888,2020,'TV-14','162 min',"'Action & Adventure, Comedies, Dramas'","'After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.')"
('s379','Movie','Alex Fernández: The Best Comedian in the World','Alex Díaz','Alex Fernández','Mexico',43853,2020,'TV-MA','51 min','Stand-Up Comedy','Comic Alex Fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.')
('s381','TV Show','Alexa & Katie',,"'Paris Berelc, Isabel May, Tiffani Thiessen, Emery Kelly, Jolie Jenkins, Kerri Medders, Finn Carr, Eddie Shin'",'United States',43995,2020,'TV-G','4 Seasons',"'Kids' TV, TV Comedies'","'Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.')"
('s394','TV Show','Alice in Borderland',,"'Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka'",'Japan',44175,2020,'TV-MA','1 Season',"'International TV Shows, TV Action & Adventure, TV Mysteries'","'An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive.')"
('s397','TV Show','Alien TV',,"'Rob Tinkler, Julie Lemieux, John Cleland, Kyle Dooley, Rupert Degas'",,44064,2020,'TV-Y7','1 Season',"'Kids' TV, TV Comedies'","'Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.')"
('s399','TV Show','Alien Worlds',,,'United Kingdom',44167,2020,'TV-PG','1 Season',"'British TV Shows, Docuseries, International TV Shows'","'Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets.')"
('s400','Movie','Alien Xmas','Stephen Chiodo',"'Keythe Farley, Dee Bradley Baker, Kaliayh Rhambo, Michelle Deco, Barbara Goodson'",'United States',44155,2020,'TV-Y','42 min','Children & Family Movies',"'A young elf mistakes a tiny alien for a Christmas gift, not knowing her new plaything has plans to destroy Earth's gravity — and steal all the presents.')"
('s407','Movie','All Because of You','Adrian Teh',"'Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling'",'Malaysia',44105,2020,'TV-PG','102 min',"'Action & Adventure, Comedies, International Movies'","'After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.')"
('s408','Movie','All Day and a Night','Joe Robert Cole',"'Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye'",'United States',43952,2020,'R','122 min',"'Dramas, Independent Movies'","'While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.')"
('s410','TV Show','All For Love',,"'Ana María Estupiñán, Carlos Torres, Yuri Vargas, Jim Muñoz, Julio Sánchez Cóccaro, Alina Lozano, Valeria Gálviz, Juan Millán, Juan del Río, Mario Duarte'",'Colombia',44008,2020,'TV-MA','1 Season',"'International TV Shows, Romantic TV Shows, Spanish-Language TV Shows'","'A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime.')"
